CustomerID,ShipmentID,DatePaid,TotalPrice,CreditCardID
1,49,"2017-03-06 23:35:25",68.31,3562257639860873
1,59,"2017-03-08 20:18:51",82.55,3562257639860873
1,81,"2017-03-06 08:09:14",55.83,3562257639860873
2,35,"2017-03-06 17:33:46",12.62,4913612442926903
2,45,"2017-03-09 14:24:36",78.13,4913612442926903
2,47,"2017-03-08 12:26:43",2.07,4913612442926903
2,75,"2017-03-08 01:18:29",52.17,4913612442926903
3,3,"2017-03-09 22:34:41",55.45,3564991276773506
3,29,"2017-03-07 10:58:53",60.32,3564991276773506
3,53,"2017-03-08 23:36:35",57.89,3564991276773506
3,97,"2017-03-08 04:29:16",50.21,3564991276773506
4,7,"2017-03-07 12:35:12",93.53,3532403110341879
4,23,"2017-03-06 21:19:37",77.52,3532403110341879
4,33,"2017-03-07 05:26:23",69.31,3532403110341879
4,55,"2017-03-08 13:31:55",21.94,3532403110341879
4,71,"2017-03-08 05:04:19",94.84,3532403110341879
5,19,"2017-03-08 12:14:44",69.36,4405972584451010
5,25,"2017-03-08 19:27:00",61.71,4405972584451010
5,39,"2017-03-08 20:15:48",62.02,4405972584451010
5,43,"2017-03-08 20:08:15",15.33,4405972584451010
5,57,"2017-03-07 01:59:14",36.26,4405972584451010
5,63,"2017-03-07 07:08:59",1.24,4405972584451010
5,85,"2017-03-08 12:39:50",57,4405972584451010
5,89,"2017-03-06 00:14:14",59.65,4405972584451010
5,93,"2017-03-06 01:46:26",91.26,4405972584451010
6,69,"2017-03-07 01:23:50",55.08,3552725793480623
6,83,"2017-03-09 13:19:12",25.66,3552725793480623
7,17,"2017-03-08 00:49:42",78.46,3586410848357437
7,41,"2017-03-08 12:07:45",72.21,3586410848357437
7,61,"2017-03-09 12:37:47",76.86,3586410848357437
7,79,"2017-03-07 12:02:23",94.07,3586410848357437
7,87,"2017-03-06 19:17:16",92.14,3586410848357437
8,1,"2017-03-07 21:54:22",10.5,6763207905749383
8,15,"2017-03-06 03:00:27",39.05,6763207905749383
8,37,"2017-03-08 05:00:35",81.44,6763207905749383
8,67,"2017-03-08 19:50:41",8.89,6763207905749383
9,5,"2017-03-06 00:57:45",29.32,5048370303516462
9,11,"2017-03-08 02:06:20",80.47,5048370303516462
9,13,"2017-03-06 18:06:08",38.57,5048370303516462
9,21,"2017-03-06 17:18:16",75.66,5048370303516462
9,27,"2017-03-06 00:56:04",3.61,5048370303516462
9,31,"2017-03-09 23:32:57",41.89,5048370303516462
9,51,"2017-03-06 05:16:43",31.08,5048370303516462
9,65,"2017-03-07 14:29:34",75.67,5048370303516462
9,95,"2017-03-08 12:25:36",21.08,5048370303516462
9,99,"2017-03-08 15:39:39",48.46,5048370303516462
10,9,"2017-03-07 17:08:19",60.27,3589052472132582
10,73,"2017-03-08 12:40:15",53.61,3589052472132582
10,77,"2017-03-09 04:56:26",61.26,3589052472132582
10,91,"2017-03-08 15:56:51",31.73,3589052472132582
